,Thème,Question,A,B,C,D,Bonne réponse
🌍 Marchés & géopolitique,Crises financières en Afrique,Le FMI intervient dans une crise pour :,Accorder un prêt et poser des conditions,Imposer des sanctions,Investir dans les entreprises,Fixer le taux de change,A
🌍 Marchés & géopolitique,Crises financières en Afrique,"En 2023, la Zambie est sortie de défaut de paiement grâce à :",Un accord avec ses créanciers,Une réforme agraire,Une privatisation massive,Un soutien militaire,A
🌍 Marchés & géopolitique,Crises financières en Afrique,Le défaut de paiement est déclaré lorsque :,Un État ne peut plus rembourser sa dette,Une banque ferme,La monnaie change,Les élections échouent,A
🌍 Marchés & géopolitique,Crises financières en Afrique,Les crises financières africaines sont souvent liées à :,Une dépendance aux matières premières,Une bulle internet,Des tensions avec l’UE,Des taxes élevées,A
🌍 Marchés & géopolitique,Crises financières en Afrique,"En 2022, la Côte d’Ivoire a évité une crise en :",Maintenant une politique budgétaire prudente,Imprimant plus de francs CFA,Fermant sa bourse,Gelant les salaires,A
🌍 Marchés & géopolitique,Crises financières en Afrique,Les banques centrales africaines sont souvent confrontées à :,Des dilemmes entre stabilité et croissance,Des scandales pétroliers,Des conflits armés directs,Des cyberattaques russes,A
🌍 Marchés & géopolitique,Crises financières en Afrique,La crise bancaire au Kenya en 2015 a été marquée par :,La fermeture de plusieurs banques,Une bulle immobilière,Une guerre civile,Un exode de capitaux,A
🌍 Marchés & géopolitique,Crises financières en Afrique,La restructuration de la dette du Mozambique en 2016 a suivi :,Un scandale lié à des prêts cachés,Une sécheresse,Une épidémie,Une bulle crypto,A
🌍 Marchés & géopolitique,Crises financières en Afrique,Les obligations souveraines émises par les pays africains sont appelées :,Eurobonds,Sukuk,Subprimes,OAT,A
🌍 Marchés & géopolitique,Crises financières en Afrique,Une crise budgétaire survient quand :,Les recettes fiscales ne couvrent plus les dépenses,Les taux d’intérêt sont négatifs,Le pétrole monte,La croissance dépasse 10%,A
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Pourquoi investir à l’international ?,Réduire le rendement,Accroître les frais,Diversifier les risques,Éviter l’euro,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel risque est réduit par la diversification géographique ?,Risque de change,Risque pays,Risque de concentration,Risque fiscal,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Un ETF Monde est un exemple de :,Diversification sectorielle,Diversification géographique,Stratégie indicielle,Produit structuré,B
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel marché est le plus exposé à l’Asie ?,CAC 40,DAX,MSCI Emerging Markets,FTSE 100,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel est le principal risque d’un investissement international ?,Fiscalité locale,Risque de change,Dividendes faibles,Absence de régulation,B
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Une entreprise multinationale est :,Limitée à un pays,Centrée sur l’Europe,Active sur plusieurs continents,Protégée contre tout risque,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Le PEA permet d’investir à l’international via :,Sociétés de l’UE,Actions américaines,Actions BRICS,Cryptomonnaies,A
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel indicateur est utile pour évaluer la performance mondiale ?,CAC Mid 60,S&P 500,MSCI World,IBEX 35,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel produit permet une large exposition géographique à faible coût ?,SICAV,ETF,SCPI,Obligation,B
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel pays a historiquement dominé les flux financiers mondiaux ?,Chine,France,Royaume-Uni,États-Unis,D
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Pourquoi les marchés émergents sont inclus dans une stratégie mondiale ?,Pour leur stabilité,Pour leur croissance,Pour leur fiscalité,Pour leur devise,B
🌍 Marchés & géopolitique,Investissement international et diversification géographique,L’allocation géographique consiste à :,Répartir selon les secteurs,Choisir des zones géographiques,Varier les devises,Changer souvent d’actions,B
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel fonds suit plusieurs régions du monde ?,MSCI France,CAC 40,MSCI ACWI,SBF 120,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,L’exposition aux devises étrangères est :,Toujours bénéfique,Toujours couverte,Une source de risque,Inutile,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Un portefeuille 100% US manque :,De risques,De croissance,De diversification géographique,D’opportunités tech,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Investir au Japon permet :,De suivre l’euro,De bénéficier d’un marché mature,D’investir en Afrique,D’éviter les risques financiers,B
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel est un avantage de la diversification géographique ?,Optimisation fiscale,Réduction des frais,Réduction de la volatilité globale,Accès au PEA,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel secteur est peu exposé à la géographie ?,Immobilier,Technologie,Services publics,Matières premières,C
🌍 Marchés & géopolitique,Investissement international et diversification géographique,Quel produit combine diversification géographique et sectorielle ?,Fonds monétaire,ETF mondial,Obligation verte,Livret A,B
🌍 Marchés & géopolitique,Investissement international et diversification géographique,L’exposition internationale d’un portefeuille dépend :,Du nombre d’ETF,Du nombre d’actions,Des zones couvertes,De la taille du PEA,C
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Quel événement géopolitique peut fortement impacter les marchés ?,Une élection locale,Un embargo commercial,Un changement de logo d'entreprise,Une publicité télévisée,B
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Les guerres influencent les marchés principalement par :,L’effet sur les matières premières,Les résultats des entreprises,Les taux d’intérêt,La mode vestimentaire,A
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Une crise géopolitique augmente généralement :,La confiance des investisseurs,La volatilité des marchés,Les dividendes,Les taux d’épargne,B
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Quel actif est souvent considéré comme valeur refuge ?,Technologie,Immobilier,Or,Actions chinoises,C
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,L’annonce d’un embargo peut faire monter :,Les valeurs de luxe,Le pétrole,Les obligations européennes,Les ETF Nasdaq,B
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,"En période de tensions géopolitiques, les investisseurs :",Prennent plus de risques,Diversifient moins,Se tournent vers les actifs sûrs,Investissent dans le tourisme,C
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Quel secteur peut bénéficier d’un conflit armé ?,Banques,Technologie,Défense,Luxe,C
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Un embargo sur un pays exportateur peut provoquer :,Une baisse des prix,Une hausse des cours mondiaux,Une baisse du commerce international,Une réduction des taux d’intérêt,B
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Les sanctions économiques entraînent souvent :,Une stabilité des devises,Un renforcement des relations commerciales,Une contraction des échanges,Une croissance des start-up,C
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Les tensions au Moyen-Orient impactent surtout :,Les devises asiatiques,Les prix du pétrole,Le marché immobilier,Les cryptomonnaies,B
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Quel pays est souvent surveillé pour les tensions géopolitiques et nucléaires ?,Suisse,Corée du Nord,Espagne,Brésil,B
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Une instabilité géopolitique en Europe impacte surtout :,Les marchés asiatiques,L’euro et les actions européennes,Le dollar canadien,L’économie africaine,B
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Quel actif tend à chuter fortement en cas de guerre ?,L’or,Le pétrole,Les actions,Les métaux rares,C
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Les marchés détestent :,Les mauvaises nouvelles,L’incertitude,Les dividendes,Les taux à 0%,B
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Quel indice peut chuter face à une guerre en Europe ?,S&P 500,NASDAQ,CAC 40,Nikkei,C
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,L’impact géopolitique est souvent :,Temporaire mais brutal,Stable,Progressif sur 10 ans,Inexistant,A
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Les marchés anticipent parfois :,Les guerres,Les résultats sportifs,Les campagnes marketing,Les tendances de mode,A
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Le prix du pétrole est très sensible :,Aux taux de la BCE,À la météo,Aux conflits géopolitiques,À la mode,C
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Une guerre commerciale se traduit souvent par :,Des baisses d’impôt,Une hausse des taxes douanières,Des investissements massifs,Un boom immobilier,B
🌍 Marchés & géopolitique,Géopolitique et marchés financiers,Quel pays est fréquemment sujet à des sanctions économiques ?,Islande,Canada,Iran,Portugal,C
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Les matières premières sont souvent considérées comme :,Actifs risqués,Actifs refuges,Produits dérivés,Obligations,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Quel métal est traditionnellement une valeur refuge ?,Cuivre,Fer,Or,Aluminium,C
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Le prix du pétrole influence :,Les services publics,Les compagnies aériennes,Les banques centrales,Les hôpitaux,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Quel produit est coté sur les marchés à terme ?,Immobilier,Or,Services,Cryptomonnaies,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Les matières premières agricoles incluent :,L’or et l’argent,Le cuivre et l’aluminium,Le blé et le maïs,Le gaz naturel,C
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,L'indice CRB suit :,Les actions du CAC 40,Les performances bancaires,Les matières premières,Les crypto-actifs,C
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Un ETF sur matières premières permet :,D’acheter directement du pétrole,D’investir dans l’or physique,De suivre un panier de ressources,D’éviter les marchés financiers,C
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,L’investissement dans les matières premières peut servir à :,Réduire les impôts,Diversifier un portefeuille,Suivre la politique monétaire,Booster les dividendes,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Quel facteur impacte fortement les prix agricoles ?,Les taux de la FED,Les conditions climatiques,Le prix de l’or,Le niveau des dividendes,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Les matières premières sont échangées principalement :,Sur les marchés réglementés,Dans les agences immobilières,Par les gouvernements,Sur les marchés de gré à gré,A
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Un choc pétrolier provoque souvent :,Une hausse des taux immobiliers,Un ralentissement économique,Une baisse des exportations de blé,Une hausse du dollar canadien,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,L’investissement dans le cuivre est souvent lié :,À la santé des marchés financiers,À la croissance industrielle,Aux dépenses publiques,Aux fluctuations agricoles,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Quel secteur est sensible aux prix du gaz ?,Banques,Agriculture,Chimie,Hôtellerie,C
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Les contrats à terme permettent :,D’acheter des actions,De spéculer sur des matières premières,De sécuriser son épargne,D’investir dans l’immobilier,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Un ETF sur l’or est généralement :,Un produit physique,Un contrat à terme,Un produit synthétique,Une action minière,C
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Le marché des matières premières est souvent :,Moins volatil que les actions,Influencé par les politiques fiscales,Volatil et cyclique,Protégé par la BCE,C
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Quel acteur intervient dans les marchés agricoles ?,Les banques centrales,Les spéculateurs et les producteurs,Les autorités sanitaires,Les agences immobilières,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Le cours du pétrole brut est exprimé en :,Yen,Dollar,Euro,Livre sterling,B
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Une hausse du prix du blé peut impacter :,Le coût de la vie,Le prix des actions tech,La demande de pétrole,Les taux d’intérêt européens,A
🌍 Marchés & géopolitique,Matières premières et leur rôle en bourse,Quel marché est spécialisé dans les matières premières ?,NYSE,Euronext,CME Group,NASDAQ,C
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Quel est le premier cryptoactif par capitalisation ?,Ethereum,Bitcoin,BNB,XRP,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Les cryptoactifs sont principalement basés sur :,Des obligations,Des contrats de travail,La technologie blockchain,Des taux fixes,C
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Quel actif est un stablecoin ?,Bitcoin,Solana,Tether (USDT),Cardano,C
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Les cryptoactifs sont connus pour :,Leur stabilité,Leur faible rendement,Leur forte volatilité,Leur caractère physique,C
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Quel pays a adopté le Bitcoin comme monnaie légale ?,France,Brésil,El Salvador,Singapour,C
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Un actif alternatif désigne souvent :,Un livret A,Un ETF,Un actif hors actions/obligations classiques,Un plan d’épargne entreprise,C
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Les NFT sont associés à :,Des terrains agricoles,Des images numériques uniques,Des obligations d’État,Des cartes bancaires,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Un portefeuille crypto est :,Un sac de pièces,Une plateforme bancaire,Un outil de stockage d’actifs numériques,Un site de e-commerce,C
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Quel actif alternatif est tangible ?,NFT,Or,Bitcoin,Token,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Les actifs alternatifs sont souvent utilisés pour :,Réduire la fiscalité,Diversifier les portefeuilles,Maximiser les salaires,Éviter les frais bancaires,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Un des risques majeurs des cryptoactifs est :,L’indexation,La faible volatilité,Le piratage,Le taux d’épargne,C
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Quelle technologie est essentielle aux cryptoactifs ?,Réseau 5G,Blockchain,Cloud computing,Solaire,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Les cryptoactifs sont réglementés :,Partout de la même manière,En fonction des pays,Uniquement par l’UE,Par les banques commerciales,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Un token utilitaire donne accès à :,Un bien physique,Un service ou une plateforme,Une rente,Un dividende garanti,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Quel actif alternatif est lié à l’art ?,ETF Nasdaq,NFT,Obligation verte,Livret développement durable,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Les actifs alternatifs peuvent inclure :,Actions,Immobilier,Cryptoactifs,Les deux B et C,D
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,La blockchain permet :,D’acheter un appartement,De sécuriser et valider les transactions,D’ouvrir un compte bancaire,De réguler l’économie,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Le staking consiste à :,Prêter ses cryptoactifs,Conserver ses clés USB,Planter du cannabis,Échanger des devises,A
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Les actifs alternatifs sont souvent :,Cotés quotidiennement,Moins liquides,Garantis par l'État,Disponibles en banque physique,B
🌍 Marchés & géopolitique,Cryptoactifs et actifs alternatifs,Quel facteur peut faire chuter une crypto ?,Un changement de CEO,Un changement d’heure,Une régulation défavorable,Un bug informatique mineur,C
👛 Gestion financière personnelle,Gérer un budget personnel,Qu’est-ce qu’un budget personnel ?,Un plan d’épargne retraite,Une liste de dépenses,Une planification des revenus et dépenses,Un crédit à la consommation,C
👛 Gestion financière personnelle,Gérer un budget personnel,Pourquoi est-il important de suivre son budget ?,Pour augmenter ses impôts,Pour mieux gérer ses finances,Pour acheter plus,Pour éviter d’épargner,B
👛 Gestion financière personnelle,Gérer un budget personnel,Que signifie vivre au-dessus de ses moyens ?,Dépenser moins que ses revenus,Épargner 50 % de ses revenus,Contracter un crédit pour consommer,Vivre en dessous du seuil de pauvreté,C
👛 Gestion financière personnelle,Gérer un budget personnel,Un poste de dépense fixe est :,Le restaurant,Le loyer,Les sorties,Les vêtements,B
👛 Gestion financière personnelle,Gérer un budget personnel,Quelle application aide à gérer un budget ?,Instagram,Excel,Netflix,Spotify,B
👛 Gestion financière personnelle,Gérer un budget personnel,La règle 50/30/20 correspond à :,Un ratio de crédit immobilier,Une règle budgétaire de répartition des revenus,Une formule fiscale,Un indice de consommation,B
👛 Gestion financière personnelle,Gérer un budget personnel,Quel est le premier réflexe pour bien gérer son budget ?,Contracter un crédit,Comparer ses revenus et ses dépenses,Acheter au supermarché,Utiliser uniquement du cash,B
👛 Gestion financière personnelle,Gérer un budget personnel,Une dépense variable est :,Le loyer,L’électricité,Le téléphone,Les courses alimentaires,D
👛 Gestion financière personnelle,Gérer un budget personnel,Un budget équilibré doit :,Avoir plus de dépenses que de revenus,Éviter l’épargne,S’adapter aux revenus,Être modifiable tous les jours,C
👛 Gestion financière personnelle,Gérer un budget personnel,Quel outil peut aider à visualiser un budget ?,Tableau Excel,Agenda papier,Classeur de vacances,Journal intime,A
👛 Gestion financière personnelle,Gérer un budget personnel,Que faire en cas de dépassement de budget ?,Ignorer le problème,Augmenter les crédits,Réduire les dépenses ou augmenter les revenus,Fermer le compte bancaire,C
👛 Gestion financière personnelle,Gérer un budget personnel,Les imprévus doivent être :,Ignorés,Financés par un crédit à la consommation,Prévisibles,Anticipés dans le budget,D
👛 Gestion financière personnelle,Gérer un budget personnel,Une bonne gestion de budget permet :,D’avoir plus d’amendes,D’éviter les découverts,De ne pas payer d’impôts,De dépenser sans limites,B
👛 Gestion financière personnelle,Gérer un budget personnel,Quel poste de dépense est souvent oublié ?,Les frais bancaires,Le loyer,Les impôts,L’assurance santé,A
👛 Gestion financière personnelle,Gérer un budget personnel,L’objectif d’un budget personnel est :,De faire plaisir à ses proches,De gérer l’argent des autres,De mieux maîtriser ses finances,De devenir banquier,C
👛 Gestion financière personnelle,Gérer un budget personnel,Le suivi régulier du budget permet :,D’éviter les impôts,D’anticiper les dépenses,De gagner au loto,D’acheter un bien immobilier immédiatement,B
👛 Gestion financière personnelle,Gérer un budget personnel,Quelle dépense est prioritaire dans un budget ?,Jeux,Abonnements,Logement,Shopping,C
👛 Gestion financière personnelle,Gérer un budget personnel,Le découvert bancaire est :,Un bonus,Une réserve d’argent gratuit,Un crédit à rembourser,Une subvention d’État,C
👛 Gestion financière personnelle,Gérer un budget personnel,Pour épargner plus efficacement :,Augmenter ses dépenses,Supprimer son compte,Automatiser l’épargne chaque mois,Jouer en bourse,C
👛 Gestion financière personnelle,Gérer un budget personnel,Un budget personnel est efficace quand :,Il est révisé une fois par an,Il permet de vivre à crédit,Il est maîtrisé et adapté,Il est délégué à un ami,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,Qu’est-ce qu’une épargne de précaution ?,Un placement boursier,Une somme mise de côté pour les imprévus,Une donation,Une dépense planifiée,B
👛 Gestion financière personnelle,Constituer une épargne de précaution,Pourquoi avoir une épargne de précaution ?,Pour spéculer,Pour partir en vacances,Pour faire face aux imprévus,Pour augmenter ses dépenses,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,Où placer son épargne de précaution ?,Livret A,PEA,Assurance vie,Immobilier locatif,A
👛 Gestion financière personnelle,Constituer une épargne de précaution,Combien de mois de dépenses faut-il idéalement mettre de côté ?,1 à 2 jours,1 à 3 mois,3 à 6 mois,12 mois minimum,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,Quel critère est primordial pour une épargne de précaution ?,Rendement élevé,Disponibilité rapide,Fiscalité avantageuse,Exotisme du placement,B
👛 Gestion financière personnelle,Constituer une épargne de précaution,Un bon usage de l’épargne de précaution est :,Payer ses vacances,Acheter des actions,Réparer une voiture en panne,Payer un cadeau,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,L’épargne de précaution est-elle imposable ?,Toujours,Jamais,Ça dépend du support,Uniquement pour les enfants,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,Le livret A est utile car :,Il est risqué,Il est bloqué 10 ans,Il est liquide et sécurisé,Il est ouvert aux entreprises,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,Un exemple d’imprévu justifiant l’épargne de précaution :,Un licenciement,Une promotion,Un héritage,Une prime exceptionnelle,A
👛 Gestion financière personnelle,Constituer une épargne de précaution,L’épargne de précaution se constitue :,En une seule fois,Uniquement à Noël,Progressivement chaque mois,À crédit,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,Quel outil est recommandé pour automatiser cette épargne ?,Paiement sans contact,Virement automatique,Chèque,Carte prépayée,B
👛 Gestion financière personnelle,Constituer une épargne de précaution,Une épargne mal répartie peut :,Favoriser les vacances,Réduire les frais de banque,Compromettre la sécurité financière,Booster l’épargne salariale,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,L’objectif principal de l’épargne de précaution est :,S’enrichir rapidement,S’offrir des loisirs,Gérer les urgences financières,Réduire l’impôt,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,"En cas de besoin, l’épargne de précaution doit :",Être difficile d’accès,Être disponible rapidement,Être vendue en bourse,Être bloquée 3 mois,B
👛 Gestion financière personnelle,Constituer une épargne de précaution,Un produit inadapté à l’épargne de précaution :,Livret A,Compte courant,Actions en bourse,LEP,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,L’épargne de précaution est généralement :,Placé sur un support risqué,Investie à long terme,Faiblement rémunérée mais disponible,Réservée aux retraités,C
👛 Gestion financière personnelle,Constituer une épargne de précaution,Quel événement n’est pas un imprévu ?,Réparation urgente,Mariage prévu,Maladie,Panne de voiture,B
👛 Gestion financière personnelle,Constituer une épargne de précaution,Une personne sans épargne de précaution risque :,De profiter de promotions,D’avoir des difficultés en cas d’imprévu,D’obtenir un crédit plus vite,D’éviter les frais bancaires,B
👛 Gestion financière personnelle,Constituer une épargne de précaution,Quand faut-il commencer à épargner ?,Uniquement à la retraite,Dès qu’on a des revenus,Après 40 ans,Quand on gagne 5000 €,B
👛 Gestion financière personnelle,Constituer une épargne de précaution,L’épargne de précaution peut être utilisée pour :,Acheter un logement,Financer un mariage,Subvenir à une perte de revenu soudaine,Investir dans les cryptos,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,L’épargne se distingue de l’investissement par :,Son horizon court terme,Sa forte volatilité,Son risque élevé,Son absence de fiscalité,A
👛 Gestion financière personnelle,Différence entre épargne et investissement,Un livret A est un exemple de :,Investissement,Dépense,Épargne,Placement en actions,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,Investir signifie :,Conserver de l’argent sans risque,Placer des fonds avec un objectif de rendement,Dépenser pour consommer,Stocker du cash chez soi,B
👛 Gestion financière personnelle,Différence entre épargne et investissement,L’épargne est généralement :,Liquide et sécurisée,Risque élevé,Toujours bloquée,Peu disponible,A
👛 Gestion financière personnelle,Différence entre épargne et investissement,Quel est l’objectif principal de l’investissement ?,La sécurité,La fiscalité,La rentabilité,La liquidité,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,Quel produit est considéré comme un investissement ?,Livret A,Compte courant,Actions,Chèques vacances,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,Le principal inconvénient de l’épargne est :,Le risque de perte en capital,Le faible rendement,L’absence de garantie,La fiscalité élevée,B
👛 Gestion financière personnelle,Différence entre épargne et investissement,Investir peut entraîner :,Une perte partielle ou totale du capital,Une sécurité totale,Un rendement garanti,Une stabilité permanente,A
👛 Gestion financière personnelle,Différence entre épargne et investissement,Une personne qui investit cherche à :,Éviter les risques,Maximiser ses dépenses,Obtenir un rendement supérieur,Vivre à crédit,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,L’épargne est adaptée pour :,S’enrichir rapidement,Préparer sa retraite,Gérer les imprévus,Spéculer,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,Un placement risqué est plus souvent un :,Compte d’épargne,Investissement,Livret jeune,Livret A,B
👛 Gestion financière personnelle,Différence entre épargne et investissement,Quel critère distingue souvent l’investissement de l’épargne ?,Le support papier,Le niveau de risque,Le taux de TVA,Le solde du compte,B
👛 Gestion financière personnelle,Différence entre épargne et investissement,Quel produit est le plus exposé aux fluctuations ?,Compte courant,Obligations d'État,Actions,Livret A,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,L’épargne est recommandée en priorité pour :,Faire des dons,Financer ses loisirs,Faire face aux dépenses imprévues,Investir dans les startups,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,Un PEA est un exemple de :,Compte d’épargne réglementé,Investissement en actions,Crédit à la consommation,Assurance santé,B
👛 Gestion financière personnelle,Différence entre épargne et investissement,L’investissement est plutôt recommandé :,Pour les projets à court terme,Quand on veut un capital 100% garanti,Pour les projets à moyen ou long terme,Pour faire des achats impulsifs,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,Quelle est la durée type d’un investissement ?,Quelques jours,1 mois,Plusieurs années,Une semaine,C
👛 Gestion financière personnelle,Différence entre épargne et investissement,Les intérêts de l’épargne sont souvent :,Élevés,Nuls,Modérés,Garantis mais faibles,D
👛 Gestion financière personnelle,Différence entre épargne et investissement,Quel comportement est typique d’un investisseur ?,Éviter toute prise de risque,Chercher une rentabilité future,Ne jamais consulter ses comptes,Refuser de diversifier,B
👛 Gestion financière personnelle,Différence entre épargne et investissement,Quelle combinaison décrit bien l’épargne de précaution ?,Long terme + volatil,Court terme + disponible,Moyen terme + risqué,Long terme + bloqué,B
👛 Gestion financière personnelle,Définir des objectifs financiers,Que signifie avoir un objectif financier ?,Faire une dépense rapide,Planifier un achat ou une épargne future,Attendre une opportunité,Éviter toute planification,B
👛 Gestion financière personnelle,Définir des objectifs financiers,Un objectif financier doit être :,Flou et ambitieux,Vague et temporaire,"SMART (Spécifique, Mesurable, etc.)",Toujours à court terme,C
👛 Gestion financière personnelle,Définir des objectifs financiers,Quel est un exemple d’objectif financier ?,Acheter un café,Faire un budget mensuel,Épargner 10 000 € pour une maison,Payer un loyer,C
👛 Gestion financière personnelle,Définir des objectifs financiers,Définir un objectif permet :,De gagner plus,De dépenser mieux,De structurer son épargne,De réduire les impôts,C
👛 Gestion financière personnelle,Définir des objectifs financiers,Un objectif financier à court terme est :,Acheter une maison,Préparer la retraite,Financer les vacances de l’année,Investir en Bourse,C
👛 Gestion financière personnelle,Définir des objectifs financiers,L’épargne pour un projet futur est appelée :,Épargne de précaution,Investissement alternatif,Épargne projet,Consommation différée,C
👛 Gestion financière personnelle,Définir des objectifs financiers,Un objectif financier mal défini entraîne :,Une bonne surprise,Un endettement sûr,Un manque de motivation,Des frais bancaires,C
👛 Gestion financière personnelle,Définir des objectifs financiers,Quel outil est utile pour suivre ses objectifs ?,Un crédit revolving,Un tableur ou une app de gestion,Un conseiller fiscal,Un forum Internet,B
👛 Gestion financière personnelle,Définir des objectifs financiers,Un objectif mesurable est :,Acheter un truc,Devenir riche,Épargner 200 € par mois,Faire des efforts,C
👛 Gestion financière personnelle,Définir des objectifs financiers,L’horizon temporel d’un objectif financier est :,Le montant d’impôt,La durée pour l’atteindre,Le taux d’intérêt,Le solde bancaire,B
👛 Gestion financière personnelle,Définir des objectifs financiers,Quel objectif est considéré comme à long terme ?,Acheter une voiture,Partir en vacances,Préparer sa retraite,Réduire sa facture téléphonique,C
👛 Gestion financière personnelle,Définir des objectifs financiers,Quelle est la première étape dans la définition d’un objectif ?,Évaluer ses revenus,Choisir une banque,Demander un prêt,Lire les actualités financières,A
👛 Gestion financière personnelle,Définir des objectifs financiers,Quel outil peut vous aider à visualiser vos objectifs ?,Une carte de fidélité,Un plan d’action,Un crédit renouvelable,Une facture EDF,B
